id,thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
2828,26-Feb-19,LUSTER INDUSTRIES-WARR 13/23,LUSTER-WB,-,-,-,0.035,0,0,0,"0.030 / 17,100","0.040 / 5,611"
2829,26-Feb-19,LUXCHEM CORPORATION BHD,LUXCHEM,0.55,0.55,0.56,0.56,0.015,2.75,"2,252",0.555 / 1,0.560 / 168
2830,26-Feb-19,LYC HEALTHCARE BERHAD,LYC,0.35,0.33,0.35,0.33,-0.005,-1.49,"1,899",0.325 / 170,0.335 / 200
2831,26-Feb-19,LYSAGHT GALVANIZED STEEL BHD,LYSAGHT,-,-,-,2.66,0,0,0,2.600 / 20,2.730 / 10
2832,26-Feb-19,MARINE & GENERAL BERHAD,M%26G,0.07,0.07,0.075,0.075,0.005,7.14,"5,700","0.070 / 8,950","0.080 / 4,629"
2833,26-Feb-19,M3 TECHNOLOGIES(ASIA)BHD,M3TECH,0.05,0.05,0.05,0.05,-0.005,-9.09,245,"0.050 / 74,213","0.055 / 24,324"
2834,26-Feb-19,M3 TECHNOLOGIES (ASIA) BERHAD - WARRANTS A 2016/2019,M3TECH-WA,0.005,0.005,0.005,0.005,0,0,"34,000",0.000 / 0,"0.005 / 15,278"
2835,26-Feb-19,MAA GROUP BERHAD,MAA,0.6,0.595,0.6,0.6,0.005,0.84,"1,305",0.600 / 2,0.615 / 100
2836,26-Feb-19,MAGNA PRIMA BHD,MAGNA,0.89,0.89,0.89,0.89,-0.01,-1.11,26,0.890 / 34,0.900 / 100
2837,26-Feb-19,MAGNA PRIMA BERHAD-WARRANTS B 15/20,MAGNA-WB,0.18,0.18,0.18,0.18,-0.015,-7.69,20,0.180 / 280,0.195 / 200
2838,26-Feb-19,MAGNI-TECH INDUSTRIES BHD,MAGNI,4.53,4.53,4.58,4.56,-0.02,-0.44,235,4.520 / 18,4.560 / 25
