Date,High,Low,Open,Close,Volume,yhat,target,us_china,trump,malaysia
7/24/17,6.400000095,6.329999924,6.389999866,6.340000153,8340100,6.258173785,0,77.42857143,16.71428571,39.28571429
7/25/17,6.449999809,6.329999924,6.409999847,6.349999905,11523200,6.290294593,0,79.85714286,16.42857143,39.57142857
7/26/17,6.400000095,6.349999905,6.380000114,6.400000095,10637600,6.320529481,0,82.28571429,16.14285714,39.85714286
7/27/17,6.610000134,6.429999828,6.429999828,6.590000153,25349300,6.336668213,1,84.71428571,15.85714286,40.14285714
7/28/17,6.730000019,6.570000172,6.599999905,6.639999866,60290200,6.339547584,0,87.14285714,15.57142857,40.42857143
7/31/17,6.699999809,6.5,6.699999809,6.550000191,27703200,6.397629853,0,88.28571429,16.42857143,42.14285714
8/1/17,6.639999866,6.510000229,6.599999905,6.510000229,13198400,6.439742885,0,84.57142857,17.85714286,43.28571429
8/2/17,6.570000172,6.53000021,6.539999962,6.559999943,14161200,6.472035659,0,80.85714286,19.28571429,44.42857143
8/3/17,6.599999905,6.510000229,6.559999943,6.599999905,11286300,6.488307337,0,77.14285714,20.71428571,45.57142857
8/4/17,6.769999981,6.599999905,6.670000076,6.619999886,12685200,6.495997169,0,73.42857143,22.14285714,46.71428571
8/7/17,6.710000038,6.619999886,6.639999866,6.679999828,8310400,6.553708059,0,63.57142857,24,56.28571429
8/8/17,6.769999981,6.690000057,6.699999809,6.760000229,14608500,6.570703823,0,61.14285714,23,63.57142857
8/9/17,6.789999962,6.730000019,6.78000021,6.760000229,7135800,6.5760872,0,58.71428571,22,70.85714286
8/10/17,6.78000021,6.699999809,6.760000229,6.78000021,6269900,6.576972449,0,56.28571429,21,78.14285714
8/11/17,6.800000191,6.699999809,6.730000019,6.800000191,12182100,6.584620223,0,53.85714286,20,85.42857143
8/14/17,6.809999943,6.739999771,6.75,6.78000021,10078800,6.63965118,0,47.85714286,17.42857143,94.28571429
8/15/17,6.809999943,6.75,6.769999981,6.78000021,7486600,6.640235306,0,46.71428571,16.85714286,88.57142857
8/16/17,6.789999962,6.730000019,6.789999962,6.769999981,10244200,6.633278823,0,45.57142857,16.28571429,82.85714286
8/17/17,6.809999943,6.730000019,6.769999981,6.769999981,7602600,6.629910683,0,44.42857143,15.71428571,77.14285714
8/18/17,6.769999981,6.690000057,6.710000038,6.769999981,7143000,6.63558721,0,43.28571429,15.14285714,71.42857143
8/21/17,6.769999981,6.71999979,6.75,6.75,10316000,6.64789089,0,43.42857143,13.85714286,57.85714286
8/22/17,6.769999981,6.71999979,6.769999981,6.75,10687900,6.645238487,0,45.85714286,13.71428571,55.71428571
8/23/17,6.760000229,6.71999979,6.75,6.739999771,15680600,6.65345429,0,50.71428571,13.42857143,51.42857143
8/24/17,6.730000019,6.510000229,6.710000038,6.71999979,15095800,6.675312886,0,53.14285714,13.28571429,49.28571429
8/25/17,6.71999979,6.619999886,6.699999809,6.71999979,5878200,6.700947426,0,56.57142857,12.14285714,48.42857143
8/28/17,6.78000021,6.619999886,6.650000095,6.78000021,6736500,6.700163774,0,55.85714286,11.71428571,50.14285714
8/29/17,6.800000191,6.679999828,6.789999962,6.699999809,19642300,6.694557187,0,55.14285714,11.28571429,51.85714286
8/31/17,7.079999924,7.079999924,7.079999924,7.079999924,0,6.7277925,0,54.42857143,10.85714286,53.57142857
9/1/17,7.079999924,7.079999924,7.079999924,7.079999924,0,6.745862357,0,50.71428571,10.57142857,55.57142857
9/5/17,7,6.710000038,7,6.760000229,15962400,6.705339857,0,48.42857143,11.14285714,54.14285714
9/6/17,6.809999943,6.71999979,6.760000229,6.75,6913300,6.700719987,0,46.14285714,11.71428571,52.71428571
9/7/17,6.909999847,6.739999771,6.769999981,6.909999847,16763400,6.692363653,1,43.85714286,12.28571429,51.28571429
9/8/17,6.869999886,6.760000229,6.869999886,6.760000229,6675800,6.671747246,0,41.57142857,12.85714286,49.85714286
9/11/17,6.809999943,6.760000229,6.760000229,6.769999981,10169400,6.589119843,0,37.57142857,14.42857143,46.71428571
9/12/17,6.800000191,6.730000019,6.78000021,6.800000191,18131600,6.57601848,0,38.14285714,14.85714286,46.42857143
9/13/17,6.800000191,6.71999979,6.78000021,6.71999979,5199900,6.560144669,0,38.71428571,15.28571429,46.14285714
9/14/17,6.760000229,6.710000038,6.739999771,6.730000019,7145000,6.531873019,0,39.28571429,15.71428571,45.85714286
9/15/17,6.75,6.53000021,6.730000019,6.75,25743300,6.491886997,0,39.85714286,16.14285714,45.57142857
9/18/17,6.710000038,6.619999886,6.699999809,6.690000057,11429700,6.392081878,0,41.57142857,16.57142857,44.85714286
9/19/17,6.670000076,6.460000038,6.650000095,6.460000038,20290300,6.367901855,0,42.14285714,16.14285714,44.71428571
9/20/17,6.369999886,6.21999979,6.320000172,6.309999943,72186200,6.337563372,0,42.71428571,15.71428571,44.57142857
9/21/17,6.389999866,6.289999962,6.309999943,6.349999905,56228200,6.30393642,0,43.28571429,15.28571429,44.42857143
9/22/17,6.349999905,6.349999905,6.349999905,6.349999905,0,6.277936896,0,43.85714286,14.85714286,44.28571429
9/25/17,6.349999905,6.260000229,6.349999905,6.309999943,61025200,6.271315656,0,43,14.14285714,43.71428571
9/26/17,6.340000153,6.260000229,6.300000191,6.340000153,58168500,6.259027218,0,41,14.28571429,43.42857143
9/27/17,6.340000153,6.269999981,6.309999943,6.300000191,16930900,6.234407041,0,39,14.42857143,43.14285714
9/28/17,6.349999905,6.269999981,6.300000191,6.269999981,21701200,6.211330097,0,37,14.57142857,42.85714286
9/29/17,6.320000172,6.260000229,6.300000191,6.300000191,23282200,6.204577944,0,35,14.71428571,42.57142857
10/2/17,6.349999905,6.289999962,6.300000191,6.340000153,17738300,6.247060438,0,32.85714286,14.85714286,42.42857143
10/3/17,6.369999886,6.320000172,6.340000153,6.360000134,22027900,6.243212639,0,34.71428571,14.71428571,42.85714286
10/4/17,6.449999809,6.349999905,6.360000134,6.409999847,16795300,6.232033887,0,36.57142857,14.57142857,43.28571429
10/5/17,6.420000076,6.369999886,6.400000095,6.400000095,11585600,6.226129589,0,38.42857143,14.42857143,43.71428571
10/6/17,6.440000057,6.400000095,6.409999847,6.409999847,14384900,6.230885293,0,40.28571429,14.28571429,44.14285714
10/9/17,6.460000038,6.409999847,6.409999847,6.420000076,15881900,6.23367999,0,43.28571429,13.85714286,45
10/10/17,6.329999924,6.25,6.300000191,6.28000021,8175400,6.221297003,0,42.57142857,13.71428571,45
10/11/17,6.300000191,6.260000229,6.269999981,6.289999962,10968600,6.216204345,1,41.85714286,13.57142857,45
10/12/17,6.320000172,6.28000021,6.320000172,6.289999962,10931100,6.222477699,0,41.14285714,13.42857143,45
10/13/17,6.329999924,6.289999962,6.300000191,6.320000172,13546900,6.232770937,1,40.42857143,13.28571429,45
10/16/17,6.340000153,6.230000019,6.340000153,6.239999771,8948300,6.205474445,0,40.42857143,13.42857143,46
10/17/17,6.210000038,6.139999866,6.199999809,6.150000095,29179000,6.190582548,0,41.85714286,13.85714286,47
10/18/17,6.150000095,6.150000095,6.150000095,6.150000095,0,6.184776285,0,43.28571429,14.28571429,48
10/19/17,6.210000038,6.150000095,6.199999809,6.179999828,35395900,6.183226263,0,44.71428571,14.71428571,49
10/20/17,6.21999979,6.170000076,6.199999809,6.190000057,13239800,6.176909989,0,46.14285714,15.14285714,50
10/23/17,6.230000019,6.170000076,6.190000057,6.179999828,14523400,6.147075073,0,51.28571429,15.85714286,51.28571429
10/24/17,6.210000038,6.050000191,6.199999809,6.110000134,22162300,6.158734441,0,53.57142857,15.71428571,50.57142857
10/25/17,6.119999886,6.019999981,6.110000134,6.099999905,10448000,6.174738314,0,55.85714286,15.57142857,49.85714286
10/26/17,6.099999905,6.039999962,6.090000153,6.050000191,10868800,6.180393959,0,58.14285714,15.42857143,49.14285714
10/27/17,6.090000153,6.050000191,6.050000191,6.070000172,12482000,6.169317119,1,60.42857143,15.28571429,48.42857143
10/30/17,6.139999866,6.070000172,6.099999905,6.099999905,5725000,6.144564859,0,63,14.71428571,46.85714286
10/31/17,6.190000057,6.099999905,6.130000114,6.139999866,16536200,6.163537892,1,61,14.42857143,46.71428571
11/1/17,6.179999828,6.130000114,6.130000114,6.139999866,8196300,6.179782966,1,59,14.14285714,46.57142857
11/2/17,6.179999828,6.139999866,6.150000095,6.159999847,6448800,6.181146467,1,57,13.85714286,46.42857143
11/3/17,6.239999771,6.139999866,6.170000076,6.210000038,14822700,6.168707105,1,55,13.57142857,46.28571429
11/6/17,6.230000019,6.190000057,6.210000038,6.210000038,7798400,6.149877736,0,49.28571429,12.71428571,45.57142857
11/7/17,6.300000191,6.190000057,6.199999809,6.25,11699400,6.149491147,1,47.57142857,12.42857143,45.14285714
11/8/17,6.25,6.179999828,6.230000019,6.179999828,5833900,6.138370801,0,45.85714286,12.14285714,44.71428571
11/9/17,6.239999771,6.159999847,6.159999847,6.210000038,5458100,6.118317037,1,44.14285714,11.85714286,44.28571429
11/10/17,6.239999771,6.179999828,6.21999979,6.179999828,8262300,6.099950365,0,42.42857143,11.57142857,43.85714286
11/13/17,6.199999809,6.130000114,6.179999828,6.130000114,7824000,6.092663471,0,42.14285714,11.71428571,42.42857143
11/14/17,6.179999828,6.050000191,6.130000114,6.090000153,7904400,6.080078572,0,45.28571429,12.42857143,41.85714286
11/15/17,6.110000134,6,6.090000153,6,12182400,6.056163526,0,48.42857143,13.14285714,41.28571429
11/16/17,6.03000021,5.880000114,5.929999828,5.920000076,11864600,6.030842596,0,51.57142857,13.85714286,40.71428571
11/17/17,6.019999981,5.920000076,5.929999828,6,12502900,6.013660558,1,54.71428571,14.57142857,40.14285714
11/20/17,6.019999981,5.980000019,6,5.980000019,8121700,5.981160256,0,59.14285714,16.28571429,39.14285714
11/21/17,6,5.949999809,5.96999979,5.949999809,7720500,5.962014319,0,57.28571429,16.57142857,39.28571429
11/22/17,5.980000019,5.940000057,5.960000038,5.949999809,11100400,5.949743397,0,55.42857143,16.85714286,39.42857143
11/23/17,6.059999943,5.949999809,5.96999979,5.980000019,6929200,5.952610258,1,53.57142857,17.14285714,39.57142857
11/24/17,5.989999771,5.960000038,5.980000019,5.980000019,4506300,5.967036874,0,51.71428571,17.42857143,39.71428571
11/27/17,6,5.929999828,6,5.96999979,6946000,5.962410972,0,46.14285714,17.71428571,41.14285714
11/28/17,5.96999979,5.929999828,5.949999809,5.929999828,11081800,5.948343702,0,44.28571429,17.42857143,42.28571429
11/29/17,5.96999979,5.909999847,5.949999809,5.940000057,11308300,5.950105395,0,42.42857143,17.14285714,43.42857143
11/30/17,6.090000153,5.940000057,5.940000057,6.050000191,47423000,5.970498217,1,40.57142857,16.85714286,44.57142857
12/1/17,6.050000191,6.050000191,6.050000191,6.050000191,0,5.997945465,0,38.71428571,16.57142857,45.71428571
12/4/17,6.03000021,5.949999809,6.010000229,5.949999809,19065500,6.019367451,0,37.14285714,15.42857143,47.85714286
12/5/17,6,5.949999809,5.949999809,5.96999979,11611300,6.023247055,1,39.28571429,14.85714286,47.71428571
12/6/17,6.019999981,5.949999809,5.949999809,5.96999979,21382900,6.038819174,1,41.42857143,14.28571429,47.57142857
12/7/17,6.039999962,5.96999979,6,5.96999979,23724000,6.059919597,0,43.57142857,13.71428571,47.42857143
12/8/17,5.989999771,5.949999809,5.96999979,5.960000038,8558200,6.075789094,0,45.71428571,13.14285714,47.28571429
12/11/17,5.96999979,5.920000076,5.920000076,5.949999809,9418900,6.101172096,1,49.71428571,11.85714286,45.85714286
12/12/17,6.190000057,5.929999828,5.940000057,6.179999828,5912300,6.128604195,1,49.42857143,11.71428571,44.71428571
