"","rsi","sma","lma","adx","macd","signal","Date","High","Low","Open","Close","Volume","yhat","us_china","trump","malaysia","Score","target_cls","class"
"92",73.3,5.9,5.9,41.9,0.22,0.2112,"2017-05-18",5.96999979,5.900000095,5.900000095,5.940000057,24938900,5.868849136,39.28571429,25,39.85714286,0,1,1
"93",70.2,5.9,5.9,42.3,0.2165,0.2133,"2017-05-19",5.989999771,5.929999828,5.949999809,5.960000038,29244400,5.889214971,38.85714286,25,40.57142857,0,0,-1
"94",73.1,6,5.9,42.7,0.2037,0.2139,"2017-05-22",5.989999771,5.940000057,5.989999771,5.949999809,12673800,5.94256698,41.71428571,24.57142857,41.71428571,1,1,1
"95",69.3,6,6,43.2,0.186,0.212,"2017-05-23",6.010000229,5.909999847,5.949999809,5.989999771,18033400,5.965046557,49.14285714,23.71428571,41.14285714,0,1,1
"96",75.6,6,6,42.9,0.1843,0.2087,"2017-05-24",6.230000019,5.949999809,6,6.130000114,27869200,6.00375592,52.85714286,23.28571429,40.85714286,1,1,1
"97",88.2,6,6,44.1,0.2008,0.2076,"2017-05-25",6.429999828,6.170000076,6.239999771,6.320000172,33326500,6.054898142,56.57142857,22.85714286,40.57142857,0,1,1
"98",93.4,6.1,6,45.9,0.2245,0.2088,"2017-05-26",6.400000095,6.289999962,6.300000191,6.349999905,26516100,6.10447376,61.42857143,21.71428571,39.42857143,0,0,-1
"99",94,6.1,6.1,47.7,0.2486,0.2119,"2017-05-29",6.360000134,6.309999943,6.349999905,6.340000153,11919500,6.185919361,58.85714286,21.42857143,38.85714286,0,1,1
"100",91.8,6.2,6.1,49.3,0.2768,0.2179,"2017-05-31",6.400000095,6.289999962,6.300000191,6.400000095,47276500,6.279547135,56.28571429,21.14285714,38.28571429,0,1,1
"101",93.2,6.3,6.2,50.9,0.3212,0.2292,"2017-06-01",6.539999962,6.369999886,6.380000114,6.5,20931900,6.340440772,53.71428571,20.85714286,37.71428571,0,1,1
"102",94.8,6.4,6.3,52.7,0.372,0.2464,"2017-06-02",6.679999828,6.5,6.5,6.610000134,23130300,6.390793412,51.14285714,20.57142857,37.14285714,1,1,1
