"","rsi","sma","lma","adx","macd","signal","Date","High","Low","Open","Close","Volume","yhat","us_china","trump","malaysia","Score","target_cls","class"
"179",25,6.7,6.7,20.9,-0.1167,-8e-04,"2017-09-20",6.369999886,6.21999979,6.320000172,6.309999943,72186200,6.337563372,42.71428571,15.71428571,44.57142857,0,1,1
"180",17.7,6.6,6.7,23.1,-0.1645,-0.0297,"2017-09-21",6.389999866,6.289999962,6.309999943,6.349999905,56228200,6.30393642,43.28571429,15.28571429,44.42857143,0,0,-1
"181",19.2,6.5,6.6,24.9,-0.2008,-0.063,"2017-09-22",6.349999905,6.349999905,6.349999905,6.349999905,0,6.277936896,43.85714286,14.85714286,44.28571429,0,0,-1
"182",18.8,6.4,6.5,26.6,-0.2431,-0.0956,"2017-09-25",6.349999905,6.260000229,6.349999905,6.309999943,61025200,6.271315656,43,14.14285714,43.71428571,0,1,1
"183",16.9,6.4,6.4,28.6,-0.2851,-0.1267,"2017-09-26",6.340000153,6.260000229,6.300000191,6.340000153,58168500,6.259027218,41,14.28571429,43.42857143,0,0,-1
"184",20.6,6.3,6.4,30.4,-0.3227,-0.1614,"2017-09-27",6.340000153,6.269999981,6.309999943,6.300000191,16930900,6.234407041,39,14.42857143,43.14285714,0,0,-1
"185",17.3,6.3,6.3,32,-0.3314,-0.197,"2017-09-28",6.349999905,6.269999981,6.300000191,6.269999981,21701200,6.211330097,37,14.57142857,42.85714286,1,1,1
"186",16.3,6.3,6.3,33.4,-0.3155,-0.2277,"2017-09-29",6.320000172,6.260000229,6.300000191,6.300000191,23282200,6.204577944,35,14.71428571,42.57142857,0,1,1
"187",22.5,6.3,6.3,34.8,-0.3016,-0.2535,"2017-10-02",6.349999905,6.289999962,6.300000191,6.340000153,17738300,6.247060438,32.85714286,14.85714286,42.42857143,0,1,1
"188",31.3,6.3,6.3,35.6,-0.2863,-0.2723,"2017-10-03",6.369999886,6.320000172,6.340000153,6.360000134,22027900,6.243212639,34.71428571,14.71428571,42.85714286,0,1,1
"189",37.2,6.3,6.3,36,-0.2601,-0.283,"2017-10-04",6.449999809,6.349999905,6.360000134,6.409999847,16795300,6.232033887,36.57142857,14.57142857,43.28571429,1,0,-1
"190",48.7,6.3,6.3,35.3,-0.2369,-0.287,"2017-10-05",6.420000076,6.369999886,6.400000095,6.400000095,11585600,6.226129589,38.42857143,14.42857143,43.71428571,0,1,1
"191",50.8,6.4,6.3,34.6,-0.2101,-0.2833,"2017-10-06",6.440000057,6.400000095,6.409999847,6.409999847,14384900,6.230885293,40.28571429,14.28571429,44.14285714,0,1,1
"192",58.3,6.4,6.4,33.7,-0.1632,-0.2698,"2017-10-09",6.460000038,6.409999847,6.409999847,6.420000076,15881900,6.23367999,43.28571429,13.85714286,45,0,0,-1
"193",67.8,6.4,6.4,32.6,-0.1353,-0.2489,"2017-10-10",6.329999924,6.25,6.300000191,6.28000021,8175400,6.221297003,42.57142857,13.71428571,45,0,1,1
"194",38.7,6.4,6.4,32.9,-0.1244,-0.2259,"2017-10-11",6.300000191,6.260000229,6.269999981,6.289999962,10968600,6.216204345,41.85714286,13.57142857,45,0,0,-1
"195",39.8,6.4,6.4,33.1,-0.1167,-0.2039,"2017-10-12",6.320000172,6.28000021,6.320000172,6.289999962,10931100,6.222477699,41.14285714,13.42857143,45,0,1,1
"196",39.3,6.3,6.4,33,-0.1069,-0.1822,"2017-10-13",6.329999924,6.289999962,6.300000191,6.320000172,13546900,6.232770937,40.42857143,13.28571429,45,0,0,-1
"197",46.4,6.3,6.3,32.8,-0.1097,-0.1626,"2017-10-16",6.340000153,6.230000019,6.340000153,6.239999771,8948300,6.205474445,40.42857143,13.42857143,46,0,0,-1
"198",32.9,6.3,6.3,33,-0.123,-0.1474,"2017-10-17",6.210000038,6.139999866,6.199999809,6.150000095,29179000,6.190582548,41.85714286,13.85714286,47,0,0,-1
"199",23.5,6.3,6.3,33.9,-0.1366,-0.1362,"2017-10-18",6.150000095,6.150000095,6.150000095,6.150000095,0,6.184776285,43.28571429,14.28571429,48,0,1,1
"200",21.8,6.2,6.3,34.6,-0.1301,-0.1273,"2017-10-19",6.210000038,6.150000095,6.199999809,6.179999828,35395900,6.183226263,44.71428571,14.71428571,49,0,1,1
"201",27.7,6.2,6.2,34.4,-0.1236,-0.1229,"2017-10-20",6.21999979,6.170000076,6.199999809,6.190000057,13239800,6.176909989,46.14285714,15.14285714,50,0,0,-1
"202",28.9,6.2,6.2,34,-0.1174,-0.1209,"2017-10-23",6.230000019,6.170000076,6.190000057,6.179999828,14523400,6.147075073,51.28571429,15.85714286,51.28571429,0,0,-1
"203",26.8,6.2,6.2,33.5,-0.1251,-0.121,"2017-10-24",6.210000038,6.050000191,6.199999809,6.110000134,22162300,6.158734441,53.57142857,15.71428571,50.57142857,0,0,-1
"204",19.5,6.2,6.2,34,-0.1313,-0.1226,"2017-10-25",6.119999886,6.019999981,6.110000134,6.099999905,10448000,6.174738314,55.85714286,15.57142857,49.85714286,0,0,-1
"205",18.7,6.2,6.2,34.7,-0.1355,-0.1258,"2017-10-26",6.099999905,6.039999962,6.090000153,6.050000191,10868800,6.180393959,58.14285714,15.42857143,49.14285714,0,1,1
"206",15,6.1,6.2,35.3,-0.1362,-0.1288,"2017-10-27",6.090000153,6.050000191,6.050000191,6.070000172,12482000,6.169317119,60.42857143,15.28571429,48.42857143,0,1,1
"207",21.6,6.1,6.1,35.8,-0.138,-0.1304,"2017-10-30",6.139999866,6.070000172,6.099999905,6.099999905,5725000,6.144564859,63,14.71428571,46.85714286,0,1,1
"208",32,6.1,6.1,35.4,-0.1386,-0.1307,"2017-10-31",6.190000057,6.099999905,6.130000114,6.139999866,16536200,6.163537892,61,14.42857143,46.71428571,0,0,-1
"209",43.4,6.1,6.1,34.3,-0.1366,-0.1314,"2017-11-01",6.179999828,6.130000114,6.130000114,6.139999866,8196300,6.179782966,59,14.14285714,46.57142857,0,1,1
"210",44.8,6.1,6.1,33.2,-0.1241,-0.1314,"2017-11-02",6.179999828,6.139999866,6.150000095,6.159999847,6448800,6.181146467,57,13.85714286,46.42857143,0,1,1
"211",52.1,6.1,6.1,32.2,-0.1061,-0.1302,"2017-11-03",6.239999771,6.139999866,6.170000076,6.210000038,14822700,6.168707105,55,13.57142857,46.28571429,0,0,-1
"212",66.1,6.1,6.1,30.2,-0.0798,-0.1251,"2017-11-06",6.230000019,6.190000057,6.210000038,6.210000038,7798400,6.149877736,49.28571429,12.71428571,45.57142857,0,1,1
"213",69.3,6.2,6.1,28.4,-0.0506,-0.1162,"2017-11-07",6.300000191,6.190000057,6.199999809,6.25,11699400,6.149491147,47.57142857,12.42857143,45.14285714,0,0,-1
"214",76.7,6.2,6.2,27.1,-0.0249,-0.1039,"2017-11-07",6.300000191,6.190000057,6.199999809,6.25,11699400,6.149491147,47.57142857,12.42857143,45.14285714,0,0,-1
"215",78.8,6.2,6.2,25.8,-0.0104,-0.0899,"2017-11-08",6.25,6.179999828,6.230000019,6.179999828,5833900,6.138370801,45.85714286,12.14285714,44.71428571,0,1,1
"216",55.8,6.2,6.2,24.4,0.0069,-0.0738,"2017-11-09",6.239999771,6.159999847,6.159999847,6.210000038,5458100,6.118317037,44.14285714,11.85714286,44.28571429,0,0,-1
"217",62.8,6.2,6.2,22.8,0.0186,-0.0563,"2017-11-10",6.239999771,6.179999828,6.21999979,6.179999828,8262300,6.099950365,42.42857143,11.57142857,43.85714286,0,0,-1
"218",55.5,6.2,6.2,21.3,0.0184,-0.0391,"2017-11-13",6.199999809,6.130000114,6.179999828,6.130000114,7824000,6.092663471,42.14285714,11.71428571,42.42857143,1,0,-1
"219",43.7,6.2,6.2,20.5,0.0085,-0.0244,"2017-11-14",6.179999828,6.050000191,6.130000114,6.090000153,7904400,6.080078572,45.28571429,12.42857143,41.85714286,0,0,-1
"220",35.5,6.2,6.2,20.8,-0.016,-0.0144,"2017-11-15",6.110000134,6,6.090000153,6,12182400,6.056163526,48.42857143,13.14285714,41.28571429,0,0,-1
"221",23.4,6.1,6.2,21.7,-0.049,-0.0109,"2017-11-16",6.03000021,5.880000114,5.929999828,5.920000076,11864600,6.030842596,51.57142857,13.85714286,40.71428571,1,1,1
"222",16.2,6.1,6.1,23.4,-0.0624,-0.0123,"2017-11-17",6.019999981,5.920000076,5.929999828,6,12502900,6.013660558,54.71428571,14.57142857,40.14285714,0,0,-1
"223",31.4,6,6.1,25.1,-0.0852,-0.0189,"2017-11-20",6.019999981,5.980000019,6,5.980000019,8121700,5.981160256,59.14285714,16.28571429,39.14285714,0,0,-1
"224",29,6,6,26.6,-0.1104,-0.0301,"2017-11-21",6,5.949999809,5.96999979,5.949999809,7720500,5.962014319,57.28571429,16.57142857,39.28571429,0,0,-1
"225",25.7,6,6,28.2,-0.1284,-0.0451,"2017-11-22",5.980000019,5.940000057,5.960000038,5.949999809,11100400,5.949743397,55.42857143,16.85714286,39.42857143,0,1,1
"226",24.8,6,6,29.9,-0.1364,-0.0623,"2017-11-23",6.059999943,5.949999809,5.96999979,5.980000019,6929200,5.952610258,53.57142857,17.14285714,39.57142857,0,0,-1
"227",31.8,6,6,29.7,-0.1312,-0.0789,"2017-11-23",6.059999943,5.949999809,5.96999979,5.980000019,6929200,5.952610258,53.57142857,17.14285714,39.57142857,1,0,-1
"228",32,6,6,29.5,-0.1149,-0.0927,"2017-11-23",6.059999943,5.949999809,5.96999979,5.980000019,6929200,5.952610258,53.57142857,17.14285714,39.57142857,0,0,-1
"229",33.1,6,6,29.4,-0.1128,-0.1034,"2017-11-24",5.989999771,5.960000038,5.980000019,5.980000019,4506300,5.967036874,51.71428571,17.42857143,39.71428571,0,0,-1
"230",34.7,6,6,29.2,-0.1092,-0.1101,"2017-11-27",6,5.929999828,6,5.96999979,6946000,5.962410972,46.14285714,17.71428571,41.14285714,0,0,-1
"231",33.8,6,6,29.5,-0.1075,-0.1151,"2017-11-28",5.96999979,5.929999828,5.949999809,5.929999828,11081800,5.948343702,44.28571429,17.42857143,42.28571429,1,1,1
"232",27.8,6,6,29.7,-0.1039,-0.1172,"2017-11-29",5.96999979,5.909999847,5.949999809,5.940000057,11308300,5.950105395,42.42857143,17.14285714,43.42857143,0,1,1
"233",33.7,6,6,30.2,-0.092,-0.1152,"2017-11-30",6.090000153,5.940000057,5.940000057,6.050000191,47423000,5.970498217,40.57142857,16.85714286,44.57142857,0,0,-1
"234",66.5,6,6,28.1,-0.0785,-0.1096,"2017-12-01",6.050000191,6.050000191,6.050000191,6.050000191,0,5.997945465,38.71428571,16.57142857,45.71428571,0,0,-1
"235",70.3,6,6,26.2,-0.0755,-0.1028,"2017-12-04",6.03000021,5.949999809,6.010000229,5.949999809,19065500,6.019367451,37.14285714,15.42857143,47.85714286,0,1,1
"236",45.1,6,6,25.8,-0.0696,-0.096,"2017-12-05",6,5.949999809,5.949999809,5.96999979,11611300,6.023247055,39.28571429,14.85714286,47.71428571,0,0,-1
"237",48.4,6,6,25.5,-0.0604,-0.0899,"2017-12-06",6.019999981,5.949999809,5.949999809,5.96999979,21382900,6.038819174,41.42857143,14.28571429,47.57142857,0,0,-1
"238",48.7,6,6,24.8,-0.0454,-0.0824,"2017-12-07",6.039999962,5.96999979,6,5.96999979,23724000,6.059919597,43.57142857,13.71428571,47.42857143,1,0,-1
"239",48.8,6,6,23.7,-0.0314,-0.0738,"2017-12-08",5.989999771,5.949999809,5.96999979,5.960000038,8558200,6.075789094,45.71428571,13.14285714,47.28571429,0,0,-1
"240",45.6,6,6,23.1,-0.0342,-0.0657,"2017-12-11",5.96999979,5.920000076,5.920000076,5.949999809,9418900,6.101172096,49.71428571,11.85714286,45.85714286,0,1,1
"241",42.2,6,6,22.9,-0.0156,-0.0558,"2017-12-12",6.190000057,5.929999828,5.940000057,6.179999828,5912300,6.128604195,49.42857143,11.71428571,44.71428571,0,0,-1
"242",76.8,6,6,22.9,0.0184,-0.0436,"2017-12-13",6.25,6.070000172,6.159999847,6.179999828,14576200,6.162210881,49.14285714,11.57142857,43.57142857,0,1,1
"243",77.8,6,6,23.3,0.0682,-0.0273,"2017-12-14",6.440000057,6.150000095,6.179999828,6.369999886,26865200,6.190017827,48.85714286,11.42857143,42.42857143,0,0,-1
