"","rsi","sma","lma","adx","macd","signal","us_china","malaysia","Score","class"
"154",84.5,6.8,6.7,34,0.2369,0.1603,47.85714286,94.28571429,0,"Down"
"155",79,6.8,6.8,35.2,0.2417,0.1791,46.71428571,88.57142857,0,"Down"
"156",78.9,6.8,6.8,36.3,0.238,0.1936,45.57142857,82.85714286,0,"Down"
"157",75.1,6.8,6.8,36.9,0.2229,0.2034,44.42857143,77.14285714,0,"Down"
"158",76.7,6.8,6.8,37.7,0.2055,0.2105,43.28571429,71.42857143,0,"Down"
"159",79.8,6.8,6.8,37.6,0.1851,0.2146,43.42857143,57.85714286,0,"Down"
"160",66.5,6.8,6.8,37.5,0.1652,0.2138,45.85714286,55.71428571,0,"Down"
"161",61.8,6.8,6.8,37.4,0.143,0.2072,50.71428571,51.42857143,0,"Down"
"162",49.6,6.8,6.8,37.3,0.1202,0.1954,53.14285714,49.28571429,0,"Down"
"163",32.5,6.7,6.8,35.4,0.0984,0.18,56.57142857,48.42857143,0,"Up"
"164",22.7,6.7,6.7,33.6,0.0829,0.1624,55.85714286,50.14285714,1,"Down"
"165",58.4,6.7,6.7,31.3,0.0591,0.1425,55.14285714,51.85714286,0,"Up"
"166",32.9,6.7,6.7,29.3,0.0781,0.1264,54.42857143,53.57142857,0,"Down"
"167",79.6,6.8,6.7,29.9,0.0991,0.1146,50.71428571,55.57142857,0,"Down"
"168",80.1,6.9,6.8,30.5,0.0954,0.1046,48.42857143,54.14285714,0,"Down"
"169",47.5,6.9,6.9,29,0.0955,0.0969,46.14285714,52.71428571,0,"Up"
"170",46.7,6.9,6.9,27.7,0.1088,0.0931,43.85714286,51.28571429,0,"Down"
"171",57,6.9,6.9,25.8,0.0963,0.0904,41.57142857,49.85714286,0,"Up"
"172",47.4,6.9,6.9,24,0.0982,0.0904,37.57142857,46.71428571,0,"Up"
"173",47.9,6.8,6.9,22.3,0.0505,0.0868,38.14285714,46.42857143,0,"Down"
"174",49.7,6.8,6.8,20.9,-0.0047,0.0797,38.71428571,46.14285714,0,"Up"
"175",44.1,6.8,6.8,19.7,-0.0109,0.0698,39.28571429,45.85714286,0,"Up"
"176",44.3,6.8,6.8,18.7,-0.0105,0.0576,39.85714286,45.57142857,0,"Down"
"177",45.3,6.8,6.8,19.2,-0.0393,0.0427,41.57142857,44.85714286,0,"Down"
"178",39.5,6.7,6.8,19.6,-0.0698,0.0243,42.14285714,44.71428571,0,"Down"
"179",25,6.7,6.7,20.9,-0.1167,-8e-04,42.71428571,44.57142857,0,"Up"
"180",17.7,6.6,6.7,23.1,-0.1645,-0.0297,43.28571429,44.42857143,0,"Down"
"181",19.2,6.5,6.6,24.9,-0.2008,-0.063,43.85714286,44.28571429,0,"Down"
"182",18.8,6.4,6.5,26.6,-0.2431,-0.0956,43,43.71428571,0,"Up"
"183",16.9,6.4,6.4,28.6,-0.2851,-0.1267,41,43.42857143,0,"Down"
"184",20.6,6.3,6.4,30.4,-0.3227,-0.1614,39,43.14285714,0,"Down"
"185",17.3,6.3,6.3,32,-0.3314,-0.197,37,42.85714286,1,"Up"
"186",16.3,6.3,6.3,33.4,-0.3155,-0.2277,35,42.57142857,0,"Up"
"187",22.5,6.3,6.3,34.8,-0.3016,-0.2535,32.85714286,42.42857143,0,"Up"
"188",31.3,6.3,6.3,35.6,-0.2863,-0.2723,34.71428571,42.85714286,0,"Up"
"189",37.2,6.3,6.3,36,-0.2601,-0.283,36.57142857,43.28571429,1,"Down"
"190",48.7,6.3,6.3,35.3,-0.2369,-0.287,38.42857143,43.71428571,0,"Up"
"191",50.8,6.4,6.3,34.6,-0.2101,-0.2833,40.28571429,44.14285714,0,"Up"
"192",58.3,6.4,6.4,33.7,-0.1632,-0.2698,43.28571429,45,0,"Down"
"193",67.8,6.4,6.4,32.6,-0.1353,-0.2489,42.57142857,45,0,"Up"
"194",38.7,6.4,6.4,32.9,-0.1244,-0.2259,41.85714286,45,0,"Down"
"195",39.8,6.4,6.4,33.1,-0.1167,-0.2039,41.14285714,45,0,"Up"
"196",39.3,6.3,6.4,33,-0.1069,-0.1822,40.42857143,45,0,"Down"
"197",46.4,6.3,6.3,32.8,-0.1097,-0.1626,40.42857143,46,0,"Down"
"198",32.9,6.3,6.3,33,-0.123,-0.1474,41.85714286,47,0,"Down"
"199",23.5,6.3,6.3,33.9,-0.1366,-0.1362,43.28571429,48,0,"Up"
"200",21.8,6.2,6.3,34.6,-0.1301,-0.1273,44.71428571,49,0,"Up"
"201",27.7,6.2,6.2,34.4,-0.1236,-0.1229,46.14285714,50,0,"Down"
